inicio	fin	texto
0.00	4.24	Si algún día caminas por el monte y escuchas a una mujer pidiendo ayuda entre los árboles,
4.62	5.18	no vayas.
5.64	7.00	Quédate y te cuento por qué.
7.60	12.06	Los campesinos y leñadores de Colombia dicen que en lo más espeso de la selva vive una
12.06	16.42	mujer que avanza a saltos, sobre una sola pierna que termina en pezuña de oso.
16.90	22.18	Tiene el pelo revuelto, ojos de fuego y colmillos de fiera, y un lamento que hiela la sangre.
22.78	24.28	La llaman la Patasola.
24.28	31.12	Pero no siempre fue un monstruo. Era una campesina hermosa, casada con un leñador honrado y madre de tres hijos.
31.66	37.18	Él se mataba trabajando en el monte para el patrón de la hacienda… y el patrón puso sus ojos en ella.
37.70	41.48	Cada vez que el marido se iba, ella recibía sus regalos y sus visitas.
41.80	44.28	Hasta que un compadre se le acercó al leñador y le dijo:
44.96	49.82	"Compadre, mientras usted se desloma en la montaña, el patrón se pasea por su rancho."
50.38	52.22	El hombre fingió un viaje al pueblo.
52.76	56.70	Esa noche volvió en silencio entre los cafetales… y los encontró juntos.
57.14	63.76	Ciego de ira, sacó el machete. Mató al patrón y, en el forcejeo, de un solo tajo le cortó una pierna a su mujer.
64.30	66.86	Huyó con sus hijos y la dejó desangrándose en el monte.
67.40	69.86	Ella agonizó entre el barro, llena de rencor.
70.22	72.96	Con su último aliento cayó sobre ella una maldición:
73.40	78.00	se levantó sobre la única pierna que le quedaba, mitad fiera, mitad espanto.
78.00	80.94	Desde entonces busca venganza contra los hombres.
81.28	85.80	De lejos parece una mujer bellísima, perdida o herida, que te llama con voz dulce.
86.40	89.14	Pero cuando te acercas… la ilusión se rompe.
89.66	95.92	Muestra su cara de cadáver, sus garras, sus fauces… y se lanza sobre ti para beberte la sangre.
96.44	103.18	Los viejos dicen que le teme al tabaco encendido, al ladrido de los perros y al machete bendecido clavado en cruz sobre la tierra.
103.80	106.94	Por eso en el campo nadie entra a la selva sin su tabaco.
106.94	111.46	Y si a lo lejos escuchas ramas crujiendo… ojalá sea el viento,
111.74	113.88	y no el salto de la mujer de una sola pata.
114.16	115.66	¿Tú te atreverías a ayudarla?
115.94	116.82	Te leo en los comentarios.
